Total Households Serviced,Single Family Dwellings,Multi-Family Dwellings,User Pay Waste Collection (Pay-As-You-Throw),Full User Pay,Partial User Pay,Bag Limit Program for Garbage Collection,Program Code,Municipal Group,Single Stream,Residential Collection Costs,Residential Processing Costs,Residential Depot/Transfer Costs,Residential Promotion & Education Costs,Interest on Municipal  Capital,Administration Costs,Total Gross Revenue,Year,TOTAL Reported and/or Calculated Marketed Tonnes,operation cost,Program efficiency,change of Households Serviced,change of Marketed Tonnes,Quadrant
1885,52,52,True,False,True,False,603,6,True,79085.65,0.0,0.0,4813.54,0.0,2613.25,0.0,2019,97.2427118677526,81698.9,0.005240442968777361,0.0,0.0,4
295,52,52,True,False,True,False,618,6,True,16785.12,0.0,0.0,0.0,0.0,503.55,16785.12,2019,17.61132857645476,17288.67,0.0041691304402912575,0.0,0.0,4
2396,52,0,True,False,True,False,620,6,False,110620.31,0.0,7200.0,1439.65,0.0,3606.59,0.0,2019,235.769105126831,121426.9,0.006189733441405458,0.0,0.0,4
1629,52,0,False,False,False,False,622,6,False,70479.17,0.0,10282.06,140.0,0.0,2635.48,396.0,2019,122.59818725735381,83396.70999999999,0.0053586284864028345,0.0,0.0,4
2528,52,52,False,False,False,True,623,6,False,77486.64,0.0,0.0,0.0,0.0,2324.6,0.0,2019,230.09002718232702,79811.24,0.009555939118316585,0.0,0.0,4
296,52,0,True,True,False,False,626,6,False,14940.62,0.0,2438.16,0.0,0.0,521.36,0.0,2019,21.5105998451828,17900.14,0.004457749792861335,0.0,0.0,4
2313,0,0,False,False,False,False,627,6,False,34084.56,0.0,44576.4,0.0,0.0,2359.83,0.0,2019,166.68530619268788,81020.79,0.007663726571519501,0.0,0.0,4
4519,26,26,False,False,False,True,634,6,True,312435.41,78548.04,220020.71,9604.32,10216.92,21015.29,0.0,2019,627.6325278076947,632019.45,0.002664670099545183,0.0,0.0,4
3254,52,0,True,True,False,False,636,6,False,73343.0,0.0,0.0,6726.33,0.0,2536.61,76356.0,2019,71.04089656424912,75879.61,0.006336331657715715,0.0,0.0,4
919,52,0,False,False,False,False,641,6,False,26680.0,0.0,0.0,1343.62,0.0,927.58,0.0,2019,7.688597832559247,27607.58,0.003044759462204133,0.0,0.0,4
489,52,0,False,False,False,True,694,6,True,64931.78,2002.92,0.0,17003.16,1443.22,4229.0,0.0,2019,13.652301912467731,71163.7,0.0011481505846958416,0.0,0.0,4
1446,52,52,False,False,False,True,710,6,True,23227.0,19164.0,23227.0,500.0,0.0,1993.54,0.0,2019,69.21000000000001,67611.54,0.004678942876137939,0.0,0.0,4
703,26,26,False,False,False,True,743,6,True,102955.62,30220.73,0.0,0.0,565.98,4089.27,0.0,2019,71.12863385458549,137265.62,0.0016290639013374797,0.0,0.0,4
358,26,26,False,False,False,False,747,6,True,51410.03,0.0,13512.4,198.22,29.53,2032.63,0.0,2019,38.0,66955.06,0.0017420070491249904,0.0,0.0,4
3541,39,39,True,True,False,False,758,6,True,172073.52,37847.37,83852.92000000001,34982.31,0.0,11563.3,142.1,2019,242.43754918347622,305337.11,0.003034473262751321,0.0,0.0,4
752,26,26,False,False,False,False,765,6,True,71325.1,0.0,10170.0,0.0,0.0,2444.85,0.0,2019,86.9064,83939.95000000001,0.003045552526660824,0.0,0.0,4
211,26,26,False,False,False,False,770,6,True,11729.54,0.0,17687.370000000003,500.0,0.0,922.88,0.0,2019,26.529705367571452,30339.790000000005,0.002466010211438428,0.0,0.0,4
4245,26,26,True,True,False,False,774,6,True,79775.23999999999,41879.94,157360.08000000002,7.88,2280.37,9871.39,0.0,2019,357.5311036963233,288886.65,0.004264501675097203,0.0,0.0,4
337,52,0,True,False,True,False,794,6,False,12728.88,0.0,27894.54,1073.21,272.02,2098.43,0.0,2019,19.658346730975346,42721.85,0.0019051904461108297,0.0,0.0,4
292,26,26,False,False,False,False,806,6,True,38429.39,0.0,0.0,40.0,0.0,1154.88,0.0,2019,27.999999999999993,39584.27,0.0022842719202263557,0.0,0.0,4
6706,0,0,True,True,False,False,811,6,True,197609.36,65882.81,219238.25,5380.950000000001,16965.56,23936.19,7228.6,2019,586.7249337903056,506666.61,0.0039149548894247205,0.0,0.0,4
521,26,26,False,False,False,False,824,6,True,53573.62,0.0,8500.0,0.0,0.0,2032.21,0.0,2019,33.61,64105.83,0.0020642181406133188,0.0,0.0,4
205,52,52,False,False,False,True,826,6,True,31262.87,0.0,3976.88,30.0,0.0,1058.69,0.0,2019,39.180400000000006,36298.44,0.0024690131473187674,0.0,0.0,4
