Total Households Serviced,Single Family Dwellings,Multi-Family Dwellings,User Pay Waste Collection (Pay-As-You-Throw),Full User Pay,Bag Limit Program for Garbage Collection,Program Code,Municipal Group,Single Stream,Residential Promotion & Education Costs,Interest on Municipal  Capital,Total Gross Revenue,Year,Interaction of Households Serviced and operation cost,operation cost,Program efficiency,TOTAL Reported and/or Calculated Marketed Tonnes,Quadrant,Previous_Target,Cluster_Labels,Cluster_Probabilities
4911,52,52,True,False,False,731,5,True,0.0,0.0,41367.85,2019,1320895611.03,268966.73,0.0084402815494456,1049.4,4,857.7142015578887,3,0.026218967892534
1468,52,52,True,True,True,732,5,True,1250.0,0.0,0.0,2019,101844907.52,69376.64,0.0076166806187092,190.209393157142,4,209.38683703714813,0,0.0709658325561567
767,52,52,True,True,False,754,5,False,475.0,0.0,0.0,2019,26492041.94,34539.82,0.0080341282597801,100.397361015839,4,101.49098718750405,5,1.0
3361,26,26,True,False,False,885,5,False,1489.3,0.0,0.0,2019,486211872.46,144662.86,0.0084204000718154,441.48,4,280.5247950882895,4,0.18716490741229225
4458,52,52,True,False,False,909,5,False,5356.75,0.0,620.13,2019,867889101.66,194681.27,0.0072580005915314,447.86,4,476.3766666666667,4,0.11961224691387452
512,26,26,False,False,False,923,5,False,905.7,0.0,84.0,2019,15506785.28,30286.69,0.0050085946405374,44.94334914850541,4,64.6277830495018,4,0.7580935992571148
7013,26,26,False,False,True,394,6,False,3329.73,0.0,25617.81,2019,2931630083.48,418027.96,0.004883376638022,594.2199999999999,4,528.11,2,0.4009040005638838
3650,26,26,False,False,True,414,6,True,9811.62,1825.42,11641.15,2019,770753856.0,211165.44,0.0036814638081212,165.57466674439706,4,173.2637935600571,1,0.2626406893496725
5642,52,52,False,False,False,426,6,False,2500.0,0.0,420.0,2019,950526640.7,168473.35,0.0095982904119561,463.4651825294747,4,447.8682101282681,4,0.13253870999544937
17740,52,52,False,False,True,430,6,True,12208.14,25712.28,480.0,2019,30344146529.599995,1710493.0399999998,0.0038625822144894,2460.6196060451057,4,2542.8904602230937,1,0.04267413148320261
69,52,52,False,False,False,443,6,True,0.0,0.0,0.0,2019,1092283.7999999998,15830.2,0.0020363415813819,15.060000000000004,4,14.576666666666668,3,0.7655765731622407
460,26,0,False,False,True,562,6,False,702.15,0.0,0.0,2019,22154340.6,48161.60999999999,0.004019616088909,81.4729258961534,4,65.18382928252959,2,1.0
1885,52,52,True,False,False,603,6,True,4813.54,0.0,0.0,2019,154002426.5,81698.9,0.0052404429687773,97.2427118677526,4,101.13262248173089,3,0.0833372565270953
295,52,52,True,False,False,618,6,True,0.0,0.0,16785.12,2019,5100157.649999999,17288.67,0.0041691304402912,17.61132857645476,4,19.44479993610798,3,0.1456720551458755
2396,52,0,True,False,False,620,6,False,1439.65,0.0,0.0,2019,290938852.4,121426.9,0.0061897334414054,235.769105126831,4,221.16312086966556,4,0.29649669113380256
1629,52,0,False,False,False,622,6,False,140.0,0.0,396.0,2019,135853240.58999997,83396.70999999999,0.0053586284864028,122.5981872573538,4,117.26182076539988,4,0.49084787583995526
2528,52,52,False,False,True,623,6,False,0.0,0.0,0.0,2019,201762814.72,79811.24,0.0095559391183165,230.09002718232705,4,243.9451185433086,2,1.0
296,52,0,True,True,False,626,6,False,0.0,0.0,0.0,2019,5298441.44,17900.14,0.0044577497928613,21.5105998451828,4,23.012539052178763,5,0.7518954587123479
2313,0,0,False,False,False,627,6,False,0.0,0.0,0.0,2019,187401087.27,81020.79,0.0076637265715195,166.68530619268788,4,166.78411729662494,4,0.38826354354046805
4519,26,26,False,False,True,634,6,True,9604.32,10216.92,0.0,2019,2856095894.55,632019.45,0.0026646700995451,627.6325278076947,4,650.108595983054,1,0.1663080086076528
3254,52,0,True,True,False,636,6,False,6726.33,0.0,76356.0,2019,246912250.94,75879.61,0.0063363316577157,71.04089656424912,4,53.146361559318905,5,0.22677456964081893
919,52,0,False,False,False,641,6,False,1343.62,0.0,0.0,2019,25371366.020000003,27607.58,0.0030447594622041,7.688597832559247,4,10.190948613722652,4,0.5008731415921229
489,52,0,False,False,True,694,6,True,17003.16,1443.22,0.0,2019,34799049.3,71163.7,0.0011481505846958,13.652301912467731,4,18.66410063748924,1,0.167738278192072
1446,52,52,False,False,True,710,6,True,500.0,0.0,0.0,2019,97766286.84,67611.54,0.0046789428761379,69.21000000000001,4,69.66666666666667,1,1.0
703,26,26,False,False,True,743,6,True,0.0,565.98,0.0,2019,96497730.86,137265.62,0.0016290639013374,71.12863385458549,4,71.12863385458549,1,0.7771533885695995
358,26,26,False,False,False,747,6,True,198.22,29.53,0.0,2019,23969911.48,66955.06,0.0017420070491249,38.0,4,37.0,3,0.43660928835085216
3541,39,39,True,True,False,758,6,True,34982.31,0.0,142.1,2019,1081198706.51,305337.11,0.0030344732627513,242.43754918347625,4,297.22274058153846,6,0.20878898262789866
