Total Households Serviced,Single Family Dwellings,Multi-Family Dwellings,User Pay Waste Collection (Pay-As-You-Throw),Full User Pay,Bag Limit Program for Garbage Collection,Program Code,Municipal Group,Single Stream,Residential Promotion & Education Costs,Interest on Municipal  Capital,Total Gross Revenue,Year,Interaction of Households Serviced and operation cost,operation cost,Program efficiency,TOTAL Reported and/or Calculated Marketed Tonnes
4245,26,26,True,True,False,774,6,True,7.88,2280.37,0.0,2019,1226323829.25,288886.65,0.004264501675097203,357.5311036963233
337,52,0,True,False,False,794,6,False,1073.21,272.02,0.0,2019,14397263.45,42721.85,0.0019051904461108297,19.658346730975346
292,26,26,False,False,False,806,6,True,40.0,0.0,0.0,2019,11558606.84,39584.27,0.0022842719202263557,27.999999999999993
6706,0,0,True,True,False,811,6,True,5380.950000000001,16965.56,7228.6,2019,3397706286.66,506666.61,0.0039149548894247205,586.7249337903056
521,26,26,False,False,False,824,6,True,0.0,0.0,0.0,2019,33399137.43,64105.83,0.0020642181406133188,33.61
205,52,52,False,False,True,826,6,True,30.0,0.0,0.0,2019,7441180.2,36298.44,0.0024690131473187674,39.180400000000006
1674,0,0,True,True,False,840,6,False,3493.63,0.0,0.0,2019,187098644.34,111767.41,0.004308925475371645,138.55202775991427
345,26,26,False,False,False,843,6,True,0.0,0.0,0.0,2019,11265581.700000001,32653.86,0.002828129255161125,24.720000000000002
357,26,26,False,False,False,846,6,True,0.0,0.0,0.0,2019,12650291.43,35434.99,0.002649812239408204,24.695999999999998
1438,52,0,True,False,False,888,6,False,0.0,0.0,0.0,2019,70896995.0,49302.5,0.007830509175945665,103.64754100869357
545,26,0,False,False,False,889,6,False,262.0,0.0,0.0,2019,28648900.55,52566.79,0.0026741950358772416,36.258728414910095
1485,26,26,True,False,False,891,6,True,1339.55,0.0,0.0,2019,148308568.65,99871.09,0.006583804723665769,291.1434394945195
437,52,52,False,False,False,904,6,True,1291.4299999999998,0.0,0.0,2019,5604782.83,12825.59,0.007925020559853379,23.64144748103287
2299,26,0,True,True,False,906,6,True,1641.71,0.0,58.4,2019,418658682.31,182104.69,0.004178904423658538,251.9
1207,52,52,False,False,True,917,6,True,4215.98,0.0,0.0,2019,66367317.449999996,54985.35,0.008665718807683399,188.10307825939802
671,26,0,True,False,False,957,6,False,1298.74,0.0,0.0,2019,26104919.5,38904.5,0.006696404428580629,101.14874671311179
2222,26,26,True,False,False,959,6,True,1719.21,0.0,0.0,2019,269653943.02,121356.41,0.0070618581874767345,330.53645925433347
108,52,0,False,False,False,969,6,True,5550.0,7066.61,0.0,2019,8113178.16,75122.02,0.0006225720228053293,20.253027862922966
1799,26,0,True,False,False,970,6,True,0.0,0.0,161.72,2019,132982241.91,73920.09,0.007165530383118128,155.9518368102222
324,52,52,False,False,False,986,6,True,565.0,0.0,0.0,2019,13931206.2,42997.549999999996,0.0011706210785605762,7.819429887945913
842,26,26,False,False,False,988,6,False,19491.61,6270.8,91.0,2019,90044717.74,106941.47,0.003131627443482243,133.20495744908894
2923,52,52,True,False,True,989,6,True,8329.48,5943.94,37627.469999999994,2019,837771114.35,286613.45,0.0034095355449629437,326.70423415609685
2301,52,0,True,True,False,39,7,True,842.82,2227.34,1501.53,2019,296624832.27,128911.27,0.006597840070950543,314.39
3132,26,0,True,True,False,59,7,True,10767.45,347.45,0.0,2019,517638042.71999997,165273.96,0.004779725035426869,199.24752698257853
1494,26,0,True,True,False,128,7,True,256.2,0.0,265.42,2019,140363436.42,93951.43,0.004586789302367806,124.30075709261769
3057,26,26,False,False,False,152,7,True,13856.82,0.0,0.0,2019,573296848.89,187535.77,0.00601340851516963,416.02
7074,52,0,True,False,True,162,7,False,5085.0,32.88,20849.92,2019,2842747594.92,401858.58,0.005984452330807844,817.5799999999999
5150,52,52,True,False,False,166,7,False,5130.97,0.0,69372.91,2019,2387573629.5,463606.53,0.004412010271787663,812.3906
2994,26,26,False,False,True,192,7,False,545.91,0.0,15209.029999999999,2019,393224564.82,131337.53,0.00554163340149599,176.93
7703,52,52,True,True,True,205,7,False,4113.26,5055.16,12086.56,2019,3049008623.7900004,395820.93000000005,0.005293064144860969,569.8386809515304
5430,26,0,True,False,True,212,7,True,4177.8,0.0,851.0,2019,1350417759.6,248695.72,0.005971503344854235,406.16654869306086
6172,52,52,True,True,True,216,7,False,9072.52,0.0,665.0,2019,1936407168.3600001,313740.63,0.0067857593954653425,734.3659375253067
6076,52,0,True,False,False,229,7,False,0.0,0.0,81188.48,2019,3160275915.16,520124.41,0.004313575647384402,828.4599999999999
7121,26,26,True,True,True,236,7,False,2373.71,539.21,131330.90000000002,2019,4543886173.440001,638096.64,0.004312167318916515,1063.22
397,52,52,True,True,True,238,7,False,36.0,0.0,24.0,2019,14224652.92,35830.36,0.0043054646489684,59.944851964987485
19615,26,26,True,True,True,239,7,False,47889.68,33800.84,204609.35,2019,34155653245.1,1741302.74,0.004350121297307125,2925.25
10862,52,52,False,False,True,249,7,True,3005.21,10221.19,0.0,2019,7238006556.18,666360.39,0.005029598637453681,1034.130169477993
4658,52,52,False,False,True,271,7,False,20419.13,19094.3,100875.81000000001,2019,3665364409.379999,786896.6099999999,0.0023899560337228972,759.3039999999999
6185,26,26,False,False,True,275,7,True,3289.22,0.0,70724.68,2019,2481559925.5,401222.3,0.005150592554504103,690.47
1448,52,52,True,True,False,282,7,True,477.0,0.0,0.0,2019,84042006.88,58040.06,0.0068960667117561585,110.63436611728882
1344,52,52,True,False,False,287,7,True,0.0,1008.23,1002.5,2019,163566614.4,121701.35,0.003799285057350874,159.07256423396998
2735,26,26,True,False,False,290,7,True,2775.5,0.0,4228.57,2019,331022355.90000004,121031.94,0.007163880929804726,274.8776164213059
7043,52,52,True,False,False,294,7,False,4532.6,0.0,1414.0,2019,4077357928.7799997,578923.46,0.004672969475714368,1039.1314711563653
10557,52,52,True,False,False,296,7,False,16265.22,0.0,140281.66999999998,2019,9124243971.03,864283.7900000002,0.003362116344126956,799.83
5602,26,52,True,False,False,301,7,True,10981.29,3717.65,512.72,2019,1445990648.86,258120.43,0.006924723405422901,570.3041310256192
4808,26,26,False,False,True,321,7,False,1882.0,1566.51,29784.109999999997,2019,2383409307.28,495717.41000000003,0.002680143173465993,367.12999999999994
3670,26,26,True,False,False,325,7,False,1017.0,0.0,0.0,2019,612651670.2,166935.06,0.006636896123298446,334.47147980231034
1772,26,0,False,False,True,346,7,False,174.75,0.0,18678.99,2019,250853941.96000004,141565.43000000002,0.004449203758790082,223.88000000000002
2581,52,52,False,False,False,358,7,False,0.0,0.0,33885.05,2019,643594856.32,249358.72,0.004047701772934568,394.7099999999999
9845,52,52,True,False,False,361,7,False,4740.35,0.0,8401.06,2019,9314422332.05,946106.89,0.004102056568879688,1529.9173871203998
5118,52,52,True,False,True,376,7,True,1100.0,0.0,428.0,2019,1490434070.8799999,291214.16,0.006215709357967878,640.1858828169917
1846,26,26,True,False,False,382,7,False,5799.469999999999,0.0,19148.469999999998,2019,178494890.34,96692.79000000001,0.005711019371454172,165.19
7370,52,0,True,True,True,389,7,False,6061.17,0.0,807.5,2019,1213808414.5,164695.85,0.015357152710928145,867.9990100809814
3266,52,52,True,True,True,434,7,True,3430.5600000000004,0.0,0.0,2019,426990863.21999997,130738.17,0.00695944158260036,253.476329935198
3602,52,0,False,False,False,437,7,True,2265.66,0.0,0.0,2019,869128669.16,241290.58,0.004346523928173857,305.3663484528644
5965,26,0,False,False,True,502,7,True,4398.4,0.0,0.0,2019,1729541549.85,289948.29,0.005942761823312707,497.74545729062567
3244,52,0,True,False,False,503,7,False,3343.5499999999997,0.0,33972.22,2019,680125750.88,209656.52,0.005373308588953029,391.21857403239244
4830,52,0,True,False,True,510,7,False,2207.71,0.0,1071.0,2019,1244564985.3,257673.91,0.0060748434386856285,507.2989272180541
14519,52,52,False,False,True,531,7,True,17715.69,52.89,2609.74,2019,8886355837.47,612050.13,0.008770302420423625,1984.5700000000002
3684,0,0,False,False,False,550,9,False,3618.56,0.0,1281.74,2019,1695862130.1599998,460331.74,0.0020511883723476126,242.01000000000002
1490,26,26,True,False,True,551,7,False,1513.83,43.72,72.0,2019,173281293.3,116296.17000000001,0.004110765891480582,153.387526759557
5370,52,71,True,False,True,555,7,True,16876.059999999998,2390.61,497.7,2019,2541846593.7000003,473342.01,0.0035223904667660857,517.6673921763112
3239,52,52,True,False,False,556,7,False,1238.13,0.0,73939.33,2019,811065811.36,250406.24,0.004710634606239782,429.57419276527327
2862,52,52,True,False,False,558,7,True,373.65,0.0,9049.75,2019,678602037.0600001,237107.63,0.004457765856539866,390.35157563140444
4222,52,52,False,False,True,600,7,False,10432.490000000002,0.0,0.0,2019,1177588967.2599998,278917.32999999996,0.0064008397928740374,754.93
5624,26,0,True,True,False,604,7,True,5530.700000000001,1621.27,4684.65,2019,1238116345.0400002,220148.71000000002,0.007732799741877362,515.3004296156357
3234,26,26,True,False,True,612,7,True,3898.04,10450.54,6701.21,2019,956040125.0400002,295621.56000000006,0.004150290964070629,465.46741427569935
548,52,52,False,False,False,635,7,False,1890.58,0.0,0.0,2019,19973712.24,36448.38,0.004895534496597205,58.100000000000016
1230,26,0,True,True,False,642,7,False,72.0,0.0,0.0,2019,70507265.39999999,57322.979999999996,0.0070136548202740946,131.41386363582228
75,52,0,False,False,True,643,7,False,1320.0,77.97,0.0,2019,1794505.5000000002,23926.74,0.0010306312954252406,8.107975896153388
1944,52,52,True,True,False,711,7,False,71.49,6214.61,6079.57,2019,454158077.04,233620.41,0.00403322875018791,456.7000000000001
3372,52,0,True,True,False,712,7,True,884.6800000000001,0.0,0.0,2019,991602320.28,294069.49,0.0053452956129996475,732.7500000000001
267,52,52,False,False,True,718,7,True,1150.0,0.0,0.0,2019,6194795.16,23201.48,0.0040575944529534745,33.19383210090193
1410,52,0,True,True,False,736,7,False,2343.86,0.0,198.0,2019,155949257.10000002,110602.31000000001,0.0037591303303222165,122.5981872573538
3722,52,52,True,True,False,757,7,False,2010.74,0.0,29075.73,2019,1044819741.1999999,280714.6,0.0049815927159616935,525.4000000000001
20585,52,52,False,False,True,786,7,False,23382.02,51535.21,214655.14,2019,33207794459.2,1613203.52,0.004933971025066404,3077.6600000000008
5880,52,52,True,False,False,854,7,True,14170.43,0.0,37955.19,2019,3084050356.7999997,524498.36,0.0044566494676786085,929.24
1605,52,52,True,False,False,855,7,True,2344.92,0.0,7037.0,2019,220974634.5,137678.9,0.003624056686625659,155.11353756998295
207,26,26,False,False,True,862,7,False,315.0,0.0,8232.5,2019,2308524.0300000003,11152.29,0.004532882231959094,12.345441747052517
1977,52,52,True,False,False,958,7,False,598.94,175.47,311.52,2019,194993269.53,98630.89,0.0101666735656033,508.60074662379424
1131,52,52,True,True,False,967,7,False,1408.8000000000002,1587.16,0.0,2019,90382111.95000002,79913.45000000001,0.005256220621767607,155.9999026140288
7567,52,52,True,True,False,971,7,False,1007.43,90.06,96935.22,2019,4376312249.26,578341.78,0.004482981107232027,888.3399999999999
204,52,0,False,False,False,975,7,False,0.0,798.33,0.0,2019,15501292.92,75986.73,0.001034961755772862,30.31753918065976
280,52,52,False,False,False,976,7,False,1185.7,608.12,0.0,2019,10500954.8,37503.41,0.002497095052871345,31.32229912468739
311,52,0,True,True,True,977,7,False,0.0,0.0,0.0,2019,18927568.849999998,60860.35,0.0019884852225080163,47.09266172442538
297,52,0,False,False,True,979,7,False,0.0,1093.43,0.0,2019,31216882.950000003,105107.35,0.0025980082859323917,251.0676674050256
395,0,0,True,True,False,981,7,False,0.0,2876.56,26983.0,2019,44990326.199999996,113899.56,0.00248316790031337,202.51591950101226
0,52,52,False,False,False,983,7,True,0.0,0.0,0.0,2019,0.0,32152.06,0.0,75.89778163308944
174,52,0,False,False,True,984,7,False,2345.92,0.0,2612.0,2019,1266107.52,7276.4800000000005,0.008553330084063705,22.26198554245564
1914,0,0,False,False,False,188,8,False,0.0,433.71,8053.0,2019,260803305.17999998,136260.87,0.0039560730536052306,151.82
1833,0,0,False,False,False,232,8,False,1050.0,0.0,0.0,2019,219485069.7,119740.9,0.0035744973608745254,99.9430347802787
3346,0,0,False,False,False,245,8,False,9469.89,1357.48,0.0,2019,2077741495.3400002,620962.79,0.001436341320614191,237.75000000000003
1794,0,0,False,False,False,372,8,False,0.0,0.0,0.0,2019,154738814.88,86253.52,0.0054812042353355435,124.59
1932,0,0,False,False,False,375,8,False,0.0,8283.35,0.0,2019,431373405.11999995,223278.15999999997,0.0025104079111847298,162.62
5050,0,0,False,False,False,404,8,False,2100.0,10411.17,16226.76,2019,1458087914.0000002,288730.28,0.005273428065867096,459.070449904728
1633,0,0,False,False,False,413,8,True,1245.12,1579.27,110.0,2019,146910901.73,89963.81,0.003936460180806709,76.8
163,0,0,False,False,False,537,8,True,45.0,0.0,0.0,2019,1314976.42,8067.34,0.004952185419312055,9.791898688508848
219,0,0,True,False,False,545,8,False,90.0,0.0,0.0,2019,1751745.96,7998.84,0.007117606711012994,14.80055082767655
318,52,0,False,False,False,602,8,True,454.0,0.0,0.0,2019,8228195.9399999995,25874.829999999998,0.0026945855554233846,15.286633204362733
136,0,0,True,False,False,605,8,True,110.0,0.0,0.0,2019,1121495.4400000002,8246.29,0.004846237635423197,11.743233894780039
326,0,0,True,False,False,607,8,True,175.0,0.0,0.0,2019,4032597.18,12369.93,0.0061266695887542645,17.618373107885347
